name,country,city,employees,bucket,source,specialty,build_signal,source_url,oncology_tags,tier,score,score_breakdown,exclusion_reason,growth_12m_pct,growth_3m_pct,follower_growth_12m_pct,last_funding_round,last_funding_date,total_investment_usd,role_eng_pct,role_ops_pct,role_research_pct,role_qa_pct,rev_lower_usd,rev_higher_usd,founded_year,acquisition_status,ipo_date,follower_count,linkedin_id_resolved
KUHNE GROUP,DEU,Sankt Augustin,98,vaccines,crustdata,Machinery Manufacturing / The KUHNE Group is a family-owned business and one of the foremost European engi,3.1578947368421053% growth,http://www.kuhne-group.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,3.1578947368421053,4.25531914893617,20.415449529373582,,,0,,,,,20000000,50000000,1949,,,3710,3141464
Motec GmbH,DEU,Hadamar,98,vaccines,crustdata,"Appliances, Electrical, and Electronics Manufacturing / Motec specializes in the development and production of camera-based driver assis",2.083333333333333% growth,https://store.motec-cameras.com/,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,2.083333333333333,1.0309278350515463,19.55537258130918,,,0,,,,,20000000,50000000,1992,acquired,,2904,695991
LINCK Holzverarbeitungstechnik GmbH,DEU,Oberkirch,97,vaccines,crustdata,Industrial Machinery Manufacturing / As Europe’s largest manufacturer of saw lines and a global leader in profiling l,15.476190476190476% growth,http://www.linck.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,15.476190476190476,0.0,34.51990632318501,,,0,,,,,20000000,50000000,,,,2872,5492510
AI Engineering,CHE,Zug,95,vaccines,crustdata,"Software Development / AI Engineering is part of Grid Dynamics, digital engineering innovators with ove",-4.040404040404041% growth,https://aie.griddynamics.com/,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,-4.040404040404041,-3.061224489795918,0.0,post_ipo_equity,2024-11-12,124500000,,,,,500000000,1000000000,2006,acquired,2020-03-06,6800,505391
LTG Aktiengesellschaft,DEU,Stuttgart,95,vaccines,crustdata,Machinery Manufacturing / LTG – Das InnovationsunternehmenWir feiern ein Jahrhundert! Seit 1924 gibt die L,-1.0416666666666665% growth,http://www.LTG.de,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,-1.0416666666666665,1.0638297872340425,0.0,,,0,,,,,10000000,20000000,1924,,,998,7149681
Z-LASER,DEU,Freiburg,95,vaccines,crustdata,"Appliances, Electrical, and Electronics Manufacturing / Innovative light for better results. This is Z-LASER’s promise and obligation. L",11.76470588235294% growth,https://www.z-laser.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,11.76470588235294,4.395604395604396,12.16361679224973,,,0,,,,,10000000,20000000,1985,,,3126,767929
GMN Paul Müller Industrie GmbH & Co. KG,DEU,Nuremberg,94,vaccines,crustdata,Machinery Manufacturing / Based on many years of experience in the development and production of machine c,1.0752688172043012% growth,https://www.gmn.de,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,1.0752688172043012,-1.0526315789473684,28.4604176784847,,,0,,,,,20000000,50000000,1908,,,2645,65422512
Globe Chemicals GmbH,DEU,Hamburg,92,veterinary_pharma,crustdata,Wholesale Chemical and Allied Products / Globe Chemicals GmbH is a global trading company that specializes in the distrib,6.976744186046512% growth,http://www.globe-chemicals.com/,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,6.976744186046512,4.545454545454546,24.087591240875913,,,0,,,,,2500000,5000000,1972,,,2550,11768883
Machine Learning Reply GmbH,DEU,Munich,92,vaccines,crustdata,IT Services and IT Consulting / Machine Learning Reply delivers tailored end-to-end AI and data-science solution,15.0% growth,https://www.reply.com/machine-learning-reply/de/#,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,15.0,3.3707865168539324,17.718446601941746,,,,,,,,10000000,20000000,,,,6305,37068170
Reich GmbH,DEU,Mellrichstadt,92,vaccines,crustdata,"Motor Vehicle Parts Manufacturing / Reich GmbH, with its production site in Mellrichstadt, sees itself as a leading ",6.976744186046512% growth,https://www.reich-gmbh.com/,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,6.976744186046512,0.0,67.8082191780822,,,0,,,,,500000000,1000000000,1919,,,1225,75867186
bielomatik GmbH,DEU,Römerstein,91,vaccines,crustdata,"Machinery Manufacturing / Hightech with a human touch (""Hightech mit Herz und Hand"")That's how we see ours",-3.1914893617021276% growth,https://www.bielomatik.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,-3.1914893617021276,-1.0869565217391304,0.0,,,0,,,,,10000000,20000000,1946,,,2646,151715
Gregor Mendel Institute,AUT,Vienna,91,academic_gmp,crustdata,Research Services / The Gregor Mendel Institute of Molecular Plant Biology (GMI) was founded by the ,-9.0% growth,http://www.gmi.oeaw.ac.at,,Tier 3,3,industry=1/3 capability=1/2 size=0/2 trigger=1/2,,-9.0,-2.1505376344086025,0.0,,,0,,,,,10000000,20000000,2000,,,6161,246622
indurad - part of Hexagon,DEU,Aachen,91,vaccines,crustdata,Automation Machinery Manufacturing / RADAR MACHINE VISION: Our mission lies in implementing robust radar-based automa,-10.784313725490197% growth,http://www.indurad.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,-10.784313725490197,-6.185567010309279,13.741875580315691,,,0,,,,,10000000,20000000,2008,acquired,,6125,1683067
Kern Microtechnik GmbH,DEU,Eschenlohe,91,vaccines,crustdata,Machinery Manufacturing / We are your partner for challenging tasks in high-precision machining - for almo,5.813953488372093% growth,http://www.kern-microtechnik.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,5.813953488372093,-1.0869565217391304,16.21446330126473,,,0,,,,,20000000,50000000,1962,acquired,,10751,10627793
AO Research Institute Davos (ARI),CHE,Davos,90,academic_gmp,crustdata,"Research Services / Established 1959, AO Research Institute Davos (ARI) aims to:•Contribute to high ",5.88235294117647% growth,https://www.aofoundation.org/what-we-do/research-innovation,,Tier 3,3,industry=1/3 capability=1/2 size=0/2 trigger=1/2,,5.88235294117647,1.1235955056179776,0.0,,,,,,,,10000000,20000000,1959,,,9535,71226634
Pharmpur GmbH,DEU,Königsbrunn,~90,sterile_generics,research,"Ophthalmic sterile fill (silicone oil, intraocular solutions)",,https://www.pharmpur.de,,Tier 3,3,industry=3/3 capability=0/2 size=0/2 trigger=0/2,,13.333333333333334,3.0303030303030303,86.48648648648648,,,0,,,,,10000000,20000000,1992,,,345,37307299
ISW University of Stuttgart,DEU,Stuttgart,89,vaccines,crustdata,Research / The Institute for Control Engineering of Machine Tools and Manufacturing Units (,-10.1010101010101% growth,https://www.isw.uni-stuttgart.de/,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,-10.1010101010101,1.1363636363636365,0.0,,,,,,,,10000000,20000000,1965,,,3157,36319860
Inuvet GmbH,DEU,Lörrach,88,veterinary_pharma,crustdata,Veterinary / Natürlich gesunde Tiere – weltweit.Haustiere sind mehr als nur Tiere – sie sind ,0.0% growth,http://inuvet.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,0.0,1.1494252873563218,25.468164794007492,,,0,,,,,10000000,20000000,2011,,,1340,6983240
ibacon GmbH,DEU,Roßdorf,87,veterinary_pharma,crustdata,"Research / ibacon, founded in 1994, is an independent contract research institute serving t",-5.434782608695652% growth,http://www.ibacon.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,-5.434782608695652,-2.247191011235955,18.89516635279347,,,0,,,,,10000000,20000000,1994,,,1894,3213160
KUK Coils,CHE,Appenzell,87,vaccines,crustdata,"Electrical Equipment Manufacturing / KUK Group, headquartered in Appenzell, Switzerland, is one of the world's leadin",11.538461538461538% growth,http://www.kukcoils.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,11.538461538461538,3.571428571428571,22.083512699095998,,,0,,,,,500000000,1000000000,1990,acquired,,2836,5450251
ADDINOL Lube Oil GmbH,DEU,Leuna,86,vaccines,crustdata,Chemical Manufacturing / ADDINOL is one of the few companies in the German mineral oil industry acting in,6.172839506172839% growth,http://www.addinol.de,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,6.172839506172839,1.1764705882352942,43.447737909516384,,,0,,,,,500000000,1000000000,1936,,,3678,9507910
Delvitech SA,CHE,Mendrisio,86,vaccines,crustdata,"Appliances, Electrical, and Electronics Manufacturing / Delvitech designs, manufactures and supplies a sustainable AI based technologica",24.637681159420293% growth,http://delvi.tech/,,Excluded,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,industrial_false_positive,24.637681159420293,-1.1494252873563218,90.51808406647116,series_b,2025-11-11,48645419,,,,,10000000,20000000,2018,,,13643,13006177
Fehr Intralogistics & Automation,CHE,Winterthur,86,vaccines,crustdata,"Transportation, Logistics, Supply Chain and Storage / Since 1949, Fehr has been a reliable partner for comprehensive intralogistics so",4.878048780487805% growth,https://www.fehr.net,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,4.878048780487805,-2.272727272727273,29.169054441260744,,,0,,,,,10000000,20000000,1949,,,2254,9373573
Indu-Sol,DEU,Schmölln,86,vaccines,crustdata,"Automation Machinery Manufacturing / Indu-Sol is your partner for maximizing the performance, resilience and producti",-6.521739130434782% growth,https://www.indu-sol.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,-6.521739130434782,-4.444444444444445,26.52671755725191,,,0,,,,,10000000,20000000,2002,,,3315,5314403
LAUS Group,DEU,Kirrweiler,85,veterinary_pharma,crustdata,Research Services / LAUS is an internationally recognized GLP certified testing facility (CRO) worki,4.938271604938271% growth,http://www.laus.group,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,4.938271604938271,-2.2988505747126435,9.626274065685164,,,0,,,,,10000000,20000000,1989,,,968,25059728
GEFASOFT Automatisierung und Software GmbH,DEU,Regensburg,83,vaccines,crustdata,"Machinery Manufacturing / GEFASOFT delivers application-specific turn-key solutions for the automotive, se",-1.1904761904761905% growth,http://www.gefasoft.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,-1.1904761904761905,-1.1904761904761905,34.386617100371744,,,0,,,,,10000000,20000000,1989,,,1446,10596216
innomatec Leak Test Solutions,DEU,Hünstetten,83,vaccines,crustdata,"Machinery Manufacturing / innomatec verfügt über mehr als 40 Jahre Erfahrung darin, führenden Herstellern ",-2.3529411764705883% growth,http://www.innomatec.de,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,-2.3529411764705883,-1.1904761904761905,13.437057991513438,,,0,,,,,10000000,20000000,1983,,,1604,51658891
BalTec Group,CHE,Pfäffikon,82,vaccines,crustdata,"Machinery Manufacturing / The innovative Swiss company, a technological trendsetter, is the world’s market",12.32876712328767% growth,http://www.baltec.com/en,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,12.32876712328767,0.0,25.553505535055347,,,0,,,,,10000000,20000000,1983,,,1361,6691637
HOLMER Maschinenbau GmbH,DEU,Schierling,82,vaccines,crustdata,Machinery Manufacturing / The HOLMER Maschinenbau GmbH has its headquarters in Eggmühl near Regensburg. We,6.493506493506493% growth,http://www.holmer-maschinenbau.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,6.493506493506493,1.2345679012345678,23.33175579744439,,,0,,,,,50000000,100000000,1969,,,2606,5582887
SIEB & MEYER AG,DEU,Lunenburg,82,vaccines,crustdata,"Appliances, Electrical, and Electronics Manufacturing / SIEB & MEYER was founded in 1962 and has been an internationally successful comp",15.492957746478872% growth,http://www.sieb-meyer.de,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,15.492957746478872,2.5,29.347826086956523,,,0,,,,,50000000,100000000,1962,,,4165,3853214
The EWAB Group,CHE,Rothenburg,82,vaccines,crustdata,Automation Machinery Manufacturing / The EWAB Group - a multi-skilled global organization with over 50 years of Indus,-2.380952380952381% growth,http://www.ewab.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,-2.380952380952381,-3.5294117647058822,0.0,,,0,,,,,10000000,20000000,,,,5890,211856
VetTrust,CHE,Küssnacht am Rigi,82,veterinary_pharma,crustdata,Veterinary Services / VetTrust AG is the leading animal health group with over 40 locations. As a Swis,-10.869565217391305% growth,http://www.vettrust.ch,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,-10.869565217391305,-1.2048192771084338,6.709511568123393,,,0,,,,,20000000,50000000,2010,,,4151,20274061
WaldrichSiegen,DEU,Siegen,82,vaccines,crustdata,Machinery Manufacturing / WaldrichSiegen has been an expert in the development and production of heavy-dut,3.79746835443038% growth,https://www.waldrichsiegen.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,3.79746835443038,-1.2048192771084338,21.833333333333332,,,0,,,,,20000000,50000000,,,,4386,3185351
AMADA Machinery Europe GmbH,DEU,Haan,81,vaccines,crustdata,"Machinery Manufacturing / Competence, efficiency, quality and availability - these are the building blocks",5.194805194805195% growth,https://www.amada-machinery.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,5.194805194805195,2.5316455696202533,15.896820635872825,,,0,,,,,10000000,20000000,2009,,,1932,12872637
DEMECAN,DEU,Priestewitz,81,medical_cannabis,crustdata+research+research,Pharmaceutical Manufacturing / DEMECAN is the German market leader for medicinal cannabis. As pioneers in the i,€40M planned; doubled cultivation to 4 t/yr in-house +6–8 t imported processing (2024–25),http://www.demecan.de,,Tier 3,3,industry=2/3 capability=1/2 size=0/2 trigger=0/2,,39.6551724137931,8.0,20.907004993926307,series_unknown,2024-08-07,23604403,,,,,10000000,20000000,2017,,,8958,20350327
Gear Research Center (FZG),DEU,Garching,81,vaccines,crustdata,"Research Services / The Institute of Machine Elements and the Gear Research Center (FZG), features c",-5.813953488372093% growth,https://www.mec.ed.tum.de/fzg,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,-5.813953488372093,0.0,32.08983631518843,,,,,,,,10000000,20000000,1951,,,3470,3199206
Robotic Systems Lab,CHE,Zurich,81,"vaccines,veterinary_pharma",crustdata,Research Services / The Robotic Systems Lab at ETH Zürich investigates the development of machines a,19.11764705882353% growth,http://www.rsl.ethz.ch,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,19.11764705882353,0.0,20.98170564500333,,,,,,,,2500000,5000000,,,,30883,74978566
Aurora Cannabis Deutschland (Pedanios),DEU,Leuna (Saxony-Anhalt),80–120,medical_cannabis,research,Cultivator + GMP packager,"5-yr operational upgrade announced 2025: new grow rooms, irrigation, lighting, hang-dry/dry-trim; expanded research license Jul-24",https://www.stocktitan.net/news/ACB/aurora-announces-investment-into-german-manufacturing-drdw0v82p3j6.html ; https://www.prnewswire.com/news-releases/aurora-receives-expanded-cultivation-and-unique-research-licenses-for-german-facility-302207202.html,,Tier 3,3,industry=2/3 capability=1/2 size=0/2 trigger=0/2,,0.0,0.0,0.0,,,,,,,,0,500000,,,,318,88812854
Egelhof Group,DEU,Fellbach,80,vaccines,crustdata,Motor Vehicle Manufacturing / Since more than 80 years EGELHOF grew into its role as a specialist in the field,6.666666666666667% growth,http://www.egelhof.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,6.666666666666667,3.896103896103896,0.0,,,0,,,,,100000000,500000000,1938,,,754,76238139
Four 20 Pharma (Curaleaf),DEU,Paderborn,~80–120,medical_cannabis,research,Vertically integrated: cultivator/extractor/wholesaler,First EU-GMP medical vape; Curaleaf 100% buyout Apr-26,https://www.420pharma.de/en/company ; https://ir.curaleaf.com/2022-09-19-Curaleaf-Completes-Majority-Stake-Acquisition-of-Germanys-Four-20-Pharma,,Tier 3,3,industry=2/3 capability=1/2 size=0/2 trigger=0/2,,15.625,5.714285714285714,34.10801963993453,,,0,,,,,10000000,20000000,2018,acquired,,4097,74845245
Fraunhofer IZI ATMP Contract Manufacturing,DEU,Leipzig,80–120,academic_gmp,research,"CAR-T, AAV, MSC contract dev/mfg",,https://www.izi.fraunhofer.de/,oncology_celltherapy,Tier 3,3,industry=1/3 capability=2/2 size=0/2 trigger=0/2,,,,,,,,,,,,,,,,,,
GAPLAST GmbH,DEU,Saulgrub,80,veterinary_pharma,crustdata,"Packaging and Containers Manufacturing / (German text below)For over 35 years, GAPLAST GmbH has been an owner-managed fam",12.676056338028168% growth,https://www.gaplast.de/en/,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,12.676056338028168,0.0,24.379481522338665,,,0,,,,,50000000,100000000,1969,,,2255,27003709
InflaRx N.V.,DEU,Jena (+ Munich),~80,specialty_orphan,research,"Rare immuno-derm (pyoderma gangrenosum), AAV-renal; anti-C5a vilobelimab (GOHIBIC EUA)",Process dev in Jena; GMP via CMOs,https://www.inflarx.de/,,Tier 3,3,industry=2/3 capability=1/2 size=0/2 trigger=0/2,,-11.29032258064516,-6.779661016949152,23.540349572331724,post_ipo_equity,2026-05-06,437329675,,,,,10000000,20000000,2007,,2017-11-08,3322,40656329
Botnar Institute of Immune Engineering – BIIE,CHE,Basel,79,academic_gmp,crustdata,Research Services / The Botnar Institute of Immune Engineering (BIIE) is a non-profit research organ,192.59259259259258% growth,https://www.immune.engineering/,,Tier 3,3,industry=1/3 capability=1/2 size=0/2 trigger=1/2,,192.59259259259258,9.722222222222223,134.47951012717851,,,0,,,,,500000,1000000,2024,,,4978,104184553
Capsa Camille Piquerez SA,CHE,La Neuveville,79,vaccines,crustdata,Industrial Machinery Manufacturing / THE GIANT OF THE MINIATUREWith 200 employees and a fleet of more than 400 machin,5.333333333333334% growth,https://www.capsa.ch,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,5.333333333333334,1.282051282051282,22.86629769880571,,,0,,,,,20000000,50000000,1951,,,4218,7191845
PLATIT AG,CHE,Selzach,79,vaccines,crustdata,Machinery Manufacturing / PLATIT AG is a Swiss company that manufactures and markets coating equipment for,-5.952380952380952% growth,https://www.platit.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,-5.952380952380952,-3.6585365853658534,13.17249029395452,,,0,,,,,10000000,20000000,1993,,,4081,9008824
FRIEDRICH KOCKS GmbH & Co KG,DEU,Hilden,78,vaccines,crustdata,Machinery Manufacturing / We are an independent medium-sized company that makes the world of steel more re,4.0% growth,https://www.kocks.de/en/,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,4.0,0.0,30.181979582778517,,,0,,,,,10000000,20000000,1946,,,2933,68837115
MÄGERLE,CHE,Fehraltorf,78,vaccines,crustdata,Machinery Manufacturing / A member of the UNITED GRINDING GroupKarl Mägerle and his brother Max founded Ge,16.417910447761194% growth,http://www.maegerle.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,16.417910447761194,4.0,11.485148514851486,,,0,,,,,10000000,20000000,1929,,,2815,5270166
OpenTAS,DEU,Hamburg,78,vaccines,crustdata,"IT Services and IT Consulting / For over 40 years, we have been a leading provider of digitalized business proce",-3.7037037037037033% growth,https://www.opentas.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,-3.7037037037037033,-1.2658227848101267,18.94525652049298,,,0,,,,,0,0,1983,,,4150,105991928
punker GmbH,DEU,Eckernförde,78,vaccines,crustdata,"Machinery Manufacturing / Since 1954, punker has been specializing in the design and manufacture of centri",5.405405405405405% growth,http://www.punker.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,5.405405405405405,1.2987012987012987,14.398848092152628,,,0,,,,,20000000,50000000,1954,acquired,,1589,5850514
SANY Europe GmbH,DEU,Bedburg,78,vaccines,crustdata,"Machinery Manufacturing / SANY Europe is a company of SANY Heavy Industry, from Changsha. This is one of t",-8.235294117647058% growth,http://www.sanyeurope.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,-8.235294117647058,2.631578947368421,39.181367144432194,,,0,,,,,10000000,20000000,2008,,,20198,3478971
SEMA Machine Tools,AUT,Traunkirchen,78,vaccines,crustdata,"Machinery Manufacturing / SEMA Maschinenbau from Traunkirchen, Austria, has been developing and manufactur",5.405405405405405% growth,http://www.sema-maschinenbau.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,5.405405405405405,0.0,32.042661720380245,,,0,,,,,10000000,20000000,1988,,,5695,3736146
Ortner Reinraumtechnik GmbH,AUT,Villach,77,"bioprocess_vendors,veterinary_pharma",crustdata+research,"Machinery Manufacturing / Microorganisms never stand still – viruses, bacteria and spores are constantly c",1.3157894736842104% growth,http://www.ortner-group.com/,,Excluded,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,direct_competitor,1.3157894736842104,1.3157894736842104,33.57182168409466,,,0,,,,,10000000,20000000,1985,,,2427,10423340
UNIFLEX-Hydraulik GmbH,DEU,Karben,77,vaccines,crustdata,"Machinery Manufacturing / UNIFLIX-Hydraulik GmbH develops, produces and sells machines for the production ",5.47945205479452% growth,http://www.uniflex.de/,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,5.47945205479452,1.3157894736842104,4.816686377808837,,,0,,,,,10000000,20000000,1972,,,9749,10088617
TRAPO,DEU,Gescher,76,vaccines,crustdata,Industrial Automation / TRAPO GmbH is a global partner for automated production and intralogistics. We d,0.0% growth,https://www.trapo.de,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,0.0,0.0,16.339677891654468,,,0,,,,,10000000,20000000,1957,,,3973,8368724
SCHMID GROUP,DEU,Sonnenbühl,75,vaccines,crustdata,Machinery Manufacturing / The internationally active SCHMID GRUPPE is an association of the companies EMIL,10.294117647058822% growth,http://www.schmidgruppe.de,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,10.294117647058822,0.0,61.33560187154402,,,0,,,,,20000000,50000000,1960,,,3793,69825134
German Bionic,DEU,Augsburg,74,vaccines,crustdata,Robotics Engineering / German Bionic is a European robotics firm that develops and manufactures AI-powe,-2.631578947368421% growth,http://www.germanbionic.com/,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,-2.631578947368421,-1.3333333333333335,19.44583751253761,series_a,2023-12-11,64516748,,,,,10000000,20000000,2017,,,9527,18308574
Kaesler Nutrition GmbH,DEU,Cuxhaven,74,veterinary_pharma,crustdata,"Animal Feed Manufacturing / Kaesler Nutrition provides a wide range of safe, high-quality additives for the ",8.823529411764707% growth,https://www.kaesler-nutrition.com/,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,8.823529411764707,8.823529411764707,11.672776384333398,,,0,,,,,10000000,20000000,2014,,,5788,25067324
RISK IDENT,DEU,Hamburg,74,vaccines,crustdata,"Technology, Information and Internet / RISK IDENT is a software development company that offers anti-fraud solutions to",1.36986301369863% growth,http://www.riskident.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,1.36986301369863,-1.3333333333333335,11.619718309859154,,,0,,,,,20000000,50000000,2012,,,3804,2965418
"SHW Werkzeugmaschinen GmbH Hersteller von Bearbeitungszentren, Fräsmaschinen, Portalfräsmaschinen",DEU,Aalen,74,vaccines,crustdata,Machinery Manufacturing / SHW Werkzeugmaschinen GmbH is one of the world’s leading manufacturers of travel,10.44776119402985% growth,http://www.shw-wm.de,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,10.44776119402985,-1.3333333333333335,26.441495778045837,,,0,,,,,20000000,50000000,1912,,,10482,3845227
BeamNG GmbH,DEU,Bremen,73,vaccines,crustdata,Software Development / BeamNG GmbH is focused on the continuing development of its state-of-the-art sof,5.797101449275362% growth,https://beamng.gmbh,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,5.797101449275362,4.285714285714286,44.3609022556391,,,0,,,,,10000000,20000000,2013,,,12288,17921033
Dienes Werke,DEU,Overath,73,vaccines,crustdata,"Machinery Manufacturing / Since 1913 DIENES has been market leader in the fields of machine knives, knife ",10.606060606060606% growth,http://dienes.de,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,10.606060606060606,2.8169014084507045,22.409823484267076,,,0,,,,,20000000,50000000,1913,,,4785,7157962
Koch Group,DEU,Leopoldshöhe,73,vaccines,crustdata,Machinery Manufacturing / We are one of the global leading producers of efficient woodworking machinery fo,30.357142857142854% growth,http://www.kochtechnology.de,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,30.357142857142854,4.285714285714286,7.7566380932469166,,,,,,,,10000000,20000000,1958,,,5154,12998074
Berief Food GmbH,DEU,Beckum,72,vaccines,crustdata,Food and Beverage Manufacturing / As a family business with 36 years of experience in the development and producti,-1.36986301369863% growth,https://www.berief-food.de/,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,-1.36986301369863,0.0,25.53062462098241,,,0,,,,,20000000,50000000,1985,,,2070,79690777
BETEK GmbH & Co. KG,DEU,Aichhalden,72,vaccines,crustdata,"Mining / Wherever materials are extracted, quarried and crushed, wherever metal surfaces ",0.0% growth,,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,0.0,-1.36986301369863,35.68627450980392,,,,,,,,20000000,50000000,1981,,,2422,3289805
filu,DEU,Munich,72,veterinary_pharma,crustdata,Veterinary Services / Filu builds technology-enabled veterinary practices for the new generation of pe,28.57142857142857% growth,https://www.filu.vet,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,28.57142857142857,9.090909090909092,28.33408172429277,seed,2023-11-13,7541299,,,,,2500000,5000000,2022,,,2858,81944498
Hunter International GmbH,DEU,Bielefeld,72,"vaccines,veterinary_pharma",crustdata,Wholesale / Our passion lies in crafting uniquely high-quality accessories for dogs and cats,-1.36986301369863% growth,http://www.hunter.de,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,-1.36986301369863,0.0,38.42936802973978,,,,,,,,10000000,20000000,1980,,,2979,7494979
Schaltag AG,CHE,Illnau,72,vaccines,crustdata,"Industrial Machinery Manufacturing / Unique industrial solutions provider since 1961Development, automation and manuf",4.3478260869565215% growth,http://www.schaltag.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,4.3478260869565215,2.857142857142857,0.0,,,0,,,,,10000000,20000000,1961,,,1500,3034061
ACSYS Lasertechnik,DEU,Kornwestheim,71,vaccines,crustdata,Machinery Manufacturing / ACSYS is your professional solution provider for industrial laser systems. Wheth,2.898550724637681% growth,https://acsyslaser.com/,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,2.898550724637681,2.898550724637681,41.422834193918526,,,0,,,,,10000000,20000000,2003,,,2465,3690480
Altano Group,DEU,Dülmen,71,veterinary_pharma,crustdata,Veterinary Services / Altano is an international group of leading equine clinics and practices. Togeth,26.785714285714285% growth,https://altano-group.vet/en,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,26.785714285714285,2.898550724637681,0.0,,,0,,,,,500000000,1000000000,2017,,,2795,80318178
imes-icore GmbH,DEU,Eiterfeld,71,vaccines,crustdata,Machinery Manufacturing / imes-icore is a German company founded in 2002. With continuously new innovation,20.33898305084746% growth,http://www.imes-icore.com,,Tier 3,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,20.33898305084746,1.4285714285714286,24.443306885078066,,,,,,,,20000000,50000000,2002,,,4862,12427605
